route_id,service_id,trip_id,trip_headsign,shape_id,block_id
7,1759,2193722:564505:569178,Grant Timmins/Dalton via John Counter Blvd,1385,569178
31,1744,2193000:564506:568497,B - Kingston Centre,1790,568497
501,1746,2203522:564507:569179,Express - Downtown via Princess St,1117,569179
7,1755,2181727:564508:568390,Grant Timmins/Dalton via John Counter Blvd,1385,568390
22,1755,2192704:564509:568261,First Canada via MacCauley,1443,568261
501,1744,2192811:564510:568402,Express - Cataraqui Centre via Front/Bayridge,1506,568402
14,1760,2183593:564512:569176,Cataraqui North,1390,569176
19,1759,2193499:564513:569206,Cataraqui Centre,1300,569206
4,1745,2183308:564514:568961,Downtown via Princess St,1169,568961
7,1755,2181982:564515:568568,Cataraqui Centre,1561,568568
502,1745,2183092:564516:568382,Express - Downtown via Bayridge/Front,1516,568382
19,1746,2203803:564517:568969,Woodhaven,826,568969
501,1744,2192921:564518:568411,Express - Cataraqui Centre via Front/Bayridge,1506,568411
N1,1746,2204494:564519:568949,Cataraqui Centre,1817,568949
19,1745,2183529:564520:568564,Woodhaven,826,568564
14,1746,2204053:564521:569174,Cataraqui North,1390,569174
702,1746,2204300:564522:568912,Express - King's Crossing via Division,1584,568912
19,1745,2183353:564523:568959,Woodhaven,826,568959
6,1753,2181466:564524:568891,Cataraqui Centre,1781,568891
6,1758,2181466:564524:569207,Cataraqui Centre,1781,569207
502,1755,2199529:564525:568365,Express - Cataraqui Centre via Princess,1501,568365
502,1746,2203612:564526:568949,Express - Cataraqui Centre via Princess,1501,568949
2,1755,2181333:564527:568414,Division Street,1784,568414
701,1744,2193207:564528:568911,Express - Cataraqui Centre via Brock/Bath,1377,568911
701,1744,2193982:564529:568886,Express - Cataraqui Centre via Brock/Bath,1377,568886
32,1744,2193005:564530:568497,St. Lawrence College,1773,568497
701,1755,2182003:564531:568914,Express - Cataraqui Centre via Brock/Bath,1377,568914
2,1745,2183152:564532:568280,Train Station,1823,568280
